user_loc,fr_loc,scaled_sci,region
BY,SC,1572,Europe
BY,SE,3870,Europe
BY,SG,858,Europe
BY,SI,4797,Europe
BY,SK,3454,Europe
BY,SL,2584,Europe
BY,SN,1070,Europe
BY,SR,473,Europe
BY,ST,574,Europe
BY,SV,283,Europe
BY,SZ,270,Europe
BY,TD,650,Europe
BY,TG,3099,Europe
BY,TH,338,Europe
BY,TJ,19004,Europe
BY,TL,192,Europe
BY,TN,5979,Europe
BY,TO,111,Europe
BY,TR,2940,Europe
BY,TT,548,Europe
BY,TW,414,Europe
BY,TZ,863,Europe
BY,UA,51169,Europe
BY,UG,1513,Europe
BY,US,1454,Europe
BY,UY,777,Europe
