,scaled_sci,user,friend
885,692,AGO,SRB
886,15856,AGO,RWA
887,1658,AGO,SAU
888,3526,AGO,SLB
889,3412,AGO,SYC
890,1103,AGO,SWE
891,361,AGO,SGP
892,349,AGO,SVN
893,360,AGO,SVK
894,31486,AGO,SLE
895,22513,AGO,SEN
896,5702,AGO,SUR
897,1176889,AGO,STP
898,1036,AGO,SLV
899,24929,AGO,SWZ
900,11978,AGO,TCD
901,22735,AGO,TGO
902,163,AGO,THA
903,821,AGO,TJK
904,3649,AGO,TLS
905,2106,AGO,TUN
906,942,AGO,TON
907,1414,AGO,TUR
908,2834,AGO,TTO
909,144,AGO,TWN
910,20535,AGO,TZA
911,618,AGO,UKR
912,17318,AGO,UGA
913,941,AGO,USA
914,1364,AGO,URY
915,493,AGO,UZB
916,3876,AGO,VCT
917,733,AGO,VNM
918,1795,AGO,VUT
919,889,AGO,WSM
920,641,AGO,XKX
921,5804,AGO,MYT
922,23587,AGO,ZAF
923,28759,AGO,ZMB
924,11986,AGO,ZWE
925,737,ARG,ARE
926,836,ARG,ATG
927,574,ARG,ALB
928,631,ARG,ARM
929,1235,ARG,AGO
930,1863542,ARG,ARG
931,1270,ARG,AUT
932,1624,ARG,AUS
933,6051,ARG,ABW
934,234,ARG,AZE
935,442,ARG,BIH
936,598,ARG,BRB
937,213,ARG,BGD
938,1192,ARG,BEL
939,472,ARG,BFA
940,616,ARG,BGR
941,495,ARG,BHR
942,312,ARG,BDI
943,1953,ARG,BEN
944,304,ARG,BRN
945,35162,ARG,BOL
946,3259,ARG,BRA
947,826,ARG,BHS
948,185,ARG,BTN
949,256,ARG,BWA
950,705,ARG,BLR
951,1858,ARG,BLZ
952,961,ARG,CAN
953,430,ARG,COD
954,422,ARG,CAF
955,617,ARG,COG
956,3379,ARG,CHE
957,906,ARG,CIV
958,18643,ARG,CHL
959,673,ARG,CMR
960,8548,ARG,COL
961,7421,ARG,CRI
962,1027,ARG,CPV
963,3060,ARG,CUW
964,1130,ARG,CYP
965,514,ARG,CZE
966,1442,ARG,DEU
967,257,ARG,DJI
968,2096,ARG,DNK
969,8529,ARG,DOM
970,1013,ARG,DZA
971,7662,ARG,ECU
972,532,ARG,EST
973,590,ARG,EGY
974,15275,ARG,ESP
975,200,ARG,ETH
976,625,ARG,FIN
977,211,ARG,FJI
978,97,ARG,FSM
979,1320,ARG,FRA
980,529,ARG,GAB
981,889,ARG,GBR
982,867,ARG,GRD
983,372,ARG,GEO
984,1519,ARG,GUF
985,1051,ARG,GHA
986,2655,ARG,GMB
987,470,ARG,GIN
988,956,ARG,GLP
989,2884,ARG,GNQ
990,1098,ARG,GRC
991,4826,ARG,GTM
992,283,ARG,GUM
993,776,ARG,GNB
994,1143,ARG,GUY
995,346,ARG,HKG
996,5543,ARG,HND
997,1135,ARG,HRV
998,2543,ARG,HTI
999,579,ARG,HUN
1000,191,ARG,IDN
1001,1732,ARG,IRL
1002,725,ARG,IMN
1003,144,ARG,IND
1004,1487,ARG,ISL
1005,4058,ARG,ITA
1006,686,ARG,JEY
1007,878,ARG,JAM
1008,510,ARG,JOR
1009,417,ARG,JPN
1010,428,ARG,KEN
1011,129,ARG,KGZ
1012,109,ARG,KHM
1013,244,ARG,KIR
1014,166,ARG,COM
1015,343,ARG,KOR
1016,435,ARG,KWT
1017,2487,ARG,CYM
1018,312,ARG,KAZ
1019,104,ARG,LAO
1020,789,ARG,LBN
1021,628,ARG,LCA
1022,346,ARG,LKA
1023,795,ARG,LBR
1024,161,ARG,LSO
1025,480,ARG,LTU
1026,2136,ARG,LUX
1027,531,ARG,LVA
1028,299,ARG,LBY
1029,2176,ARG,MAR
1030,282,ARG,MDA
1031,1366,ARG,MNE
1032,539,ARG,MDG
1033,672,ARG,MKD
1034,500,ARG,MLI
1035,81,ARG,MMR
1036,180,ARG,MNG
1037,294,ARG,MAC
1038,625,ARG,MTQ
1039,407,ARG,MRT
1040,2688,ARG,MLT
1041,466,ARG,MUS
1042,472,ARG,MDV
1043,189,ARG,MWI
1044,5546,ARG,MEX
1045,218,ARG,MYS
1046,797,ARG,MOZ
1047,368,ARG,NULL
1048,383,ARG,NCL
1049,375,ARG,NER
1050,612,ARG,NGA
1051,6314,ARG,NIC
1052,1217,ARG,NLD
1053,802,ARG,NOR
1054,131,ARG,NPL
1055,2728,ARG,NZL
1056,365,ARG,OMN
1057,6770,ARG,PAN
1058,11511,ARG,PER
1059,556,ARG,PYF
1060,217,ARG,PNG
1061,478,ARG,PHL
1062,490,ARG,PAK
1063,369,ARG,POL
1064,4145,ARG,PRI
1065,2462,ARG,PRT
1066,191952,ARG,PRY
1067,543,ARG,QAT
1068,328,ARG,REU
1069,631,ARG,ROU
1070,935,ARG,SRB
1071,347,ARG,RWA
1072,368,ARG,SAU
1073,222,ARG,SLB
1074,439,ARG,SYC
1075,1058,ARG,SWE
1076,376,ARG,SGP
