iso_o,dist
DK_AT,868.5304
DK_AZ,3200.641
DK_BI,6746.239
DK_BE,767.1575
DK_BJ,5555.601
DK_BF,4978.512
DK_BD,7103.063
DK_BG,1639.385
DK_BH,4481.19
DK_BS,7731.145
DK_BA,1377.807
DK_BY,977.0479
DK_BZ,9133.539
DK_BO,10961.65
DK_BR,10431.67
DK_BB,7702.025
DK_BN,10332.66
DK_BT,6730.764
DK_BW,9039.496
DK_CF,5733.211
DK_CA,6257.225
DK_CH,1033.508
DK_CL,12644.59
DK_CI,5795.408
DK_CM,5767.944
DK_CG,6671.254
DK_CO,9443.786
DK_CV,5479.354
DK_CR,9513.696
DK_CY,2777.919
DK_CZ,631.8411
DK_DE,595.8536
DK_DJ,5573.539
DO_AW,663.0993
DO_AO,9602.552
DO_AL,8638.148
DO_AE,12322.73
DO_AR,6036.692
DO_AM,10612.22
DO_AG,855.9273
DO_AU,15636.41
DO_AT,8213.607
DO_AZ,10990.73
DO_BI,11095.69
DO_BE,7324.625
DO_BJ,7927.038
DO_BF,7301.427
DO_BD,14865.98
DO_BG,8878.724
DO_BH,11897.88
DO_BS,1069.846
DO_BA,8463.724
DO_BY,8828.438
DO_BZ,2018.686
DO_BO,3899.494
DO_BR,5311.118
DO_BB,1243.126
DO_BN,17374.19
DO_BT,14455.34
DO_BW,11420.83
DO_CF,9693.778
DO_CA,2939.963
DO_CH,7564.875
DO_CL,5788.318
DO_CI,7274.133
DO_CM,8963.604
DO_CG,9642.195
DO_CO,1646.805
DO_CV,4937.125
DO_CR,1807.43
DO_CY,9975.51
DO_CZ,8042.32
DO_DE,7507.384
DO_DJ,11947.74
DO_DK,7851.591
DZ_AW,7686.407
DZ_AO,5194.244
DZ_AL,1533.738
DZ_AE,5048.766
DZ_AR,10188.35
DZ_AM,3600.677
DZ_AG,6664.19
DZ_AU,17139.16
DZ_AT,1670.577
DZ_AZ,4049.274
DZ_BI,5239.888
DZ_BE,1561.883
DZ_BJ,3387.561
DZ_BF,2766.421
DZ_BD,8242.789
DZ_BG,1848.793
DZ_BH,4622.148
DZ_BS,7559.671
DZ_BA,1521.609
DZ_BY,2668.628
DZ_BZ,9034.651
DZ_BO,9522.392
DZ_BR,8497.729
DZ_BB,6718.934
DZ_BN,11606.76
DZ_BT,7957.523
DZ_BW,7263.32
DZ_CF,3947.999
DZ_CA,6747.007
DZ_CH,1183.855
DZ_CL,10933.15
DZ_CI,3579.926
DZ_CM,3772.921
DZ_CG,4743.947
DZ_CO,8645.645
DZ_CV,3580.534
DZ_CR,9093.718
DZ_CY,2728.05
DZ_CZ,1737.169
DZ_DE,1658.841
DZ_DJ,4892.677
DZ_DK,2217.219
DZ_DO,7288.784
EC_AW,1698.399
EC_AO,10205.4
EC_AL,10728.15
EC_AE,14293.43
EC_AR,4360.514
EC_AM,12772.0
EC_AG,2659.824
EC_AU,13617.09
EC_AT,10396.99
EC_AZ,13178.53
EC_BI,11994.75
EC_BE,9535.309
EC_BJ,9026.347
EC_BF,8591.596
EC_BD,17158.54
EC_BG,10997.27
EC_BH,13869.69
EC_BS,2820.523
EC_BA,10590.68
EC_BY,11079.69
EC_BZ,2246.521
EC_BO,2136.151
EC_BR,4309.081
EC_BB,2557.912
EC_BN,18448.21
EC_BT,16746.39
EC_BW,11460.18
EC_CF,10808.67
EC_CA,4884.964
EC_CH,9727.094
EC_CL,3792.058
EC_CI,8300.062
EC_CM,10020.52
EC_CG,10429.38
EC_CO,662.6532
EC_CV,6278.781
EC_CR,1293.471
EC_CY,12004.46
EC_CZ,10246.23
EC_DE,9724.277
EC_DJ,13465.63
EC_DK,10106.38
EC_DO,2292.566
EC_DZ,9276.416
EG_AW,10383.61
EG_AO,4736.951
EG_AL,1623.328
EG_AE,2370.061
EG_AR,11838.13
EG_AM,1647.892
EG_AG,9358.75
EG_AU,14425.52
EG_AT,2386.201
EG_AZ,2040.063
EG_BI,3724.939
EG_BE,3212.434
EG_BJ,3995.041
EG_BF,3921.325
EG_BD,5848.475
EG_BG,1572.87
EG_BH,1947.634
EG_BS,10256.41
EG_BA,1909.202
EG_BY,2666.144
EG_BZ,11732.61
EG_BO,11813.47
EG_BR,10229.25
EG_BB,9373.387
EG_BN,9137.648
EG_BT,5649.899
EG_BW,6125.714
EG_CF,3150.346
EG_CA,9217.863
EG_CH,2779.648
EG_CL,12819.2
EG_CI,4607.989
EG_CM,3579.672
EG_CG,4180.004
EG_CO,11313.6
EG_CV,5820.062
EG_CR,11811.58
EG_CY,600.76
EG_CZ,2637.998
EG_DE,3111.573
EG_DJ,2393.625
EG_DK,3209.131
EG_DO,10005.47
EG_DZ,2718.831
EG_EC,11923.44
EG_EE,3305.113
ES_AW,7121.524
ES_AO,5752.252
ES_AL,1977.061
ES_AE,5634.667
ES_AR,10065.85
ES_AM,4040.452
ES_AG,6108.097
ES_AU,17699.45
ES_AT,1811.999
ES_AZ,4470.745
ES_BI,5920.473
ES_BE,1316.64
ES_BJ,3836.723
ES_BF,3132.095
ES_BD,8661.471
ES_BG,2254.799
ES_BH,5210.13
ES_BS,6901.421
ES_BA,1861.879
ES_BY,2762.7
ES_BZ,8377.725
ES_BO,9181.015
ES_BR,8389.78
ES_BB,6205.881
ES_BN,12015.61
ES_BT,8347.022
ES_BW,7875.38
ES_CF,4592.132
ES_CA,6040.498
ES_CH,1153.117
ES_CL,10715.11
ES_CI,3906.717
ES_CM,4347.477
ES_CG,5332.644
ES_CO,8107.001
